	Line 363: 04:12.458	ID:21	30 0 251 0 2827 45 1 0 13107 13108 12844 12597 2048 0 487 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 46092 4834 23718 20286
	Line 365: 04:15.851	ID:21	24268,254,254,9
	Line 366: 04:15.878	ID:21	30 0 254 0 2313 50 1 0 13874 11320 13618 52 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 376: 04:28.315	ID:21	-16276,267,267,18
	Line 377: 04:28.344	ID:21	30 0 267 0 4626 45 1 0 12854 13879 12844 14134 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 378: 04:28.384	ID:21	13363,267,267,6
	Line 379: 04:28.421	ID:21	30 0 267 0 1542 49 1 0 13875 11315 13874 55 2048 0 229 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 9169 4834 23718 57242
	Line 384: 04:33.039	ID:21	20801,272,271,10
	Line 385: 04:33.073	ID:21	30 0 271 0 2570 50 1 0 12344 11313 14130 50 2048 0 229 0 4726 34346 59254 41712 1 1 5518 0 32768 1 5518 32422 0 41712
	Line 387: 04:38.302	ID:21	-16105,277,277,14
	Line 388: 04:38.330	ID:21	30 0 277 0 3598 45 2 0 12598 13616 12844 14135 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 392: 04:54.530	ID:21	28771,293,293,1
	Line 393: 04:54.557	ID:21	30 0 293 0 257 50 1 0 14135 11313 14642 51 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 395: 04:55.650	ID:21	-14589,295,294,8
	Line 396: 04:55.679	ID:21	30 0 294 0 2056 45 2 0 13620 14648 12844 13625 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 398: 05:00.733	ID:21	-5979,299,299,13
